12014,8481,1054,1,NOS,18,-10,F,948.6,948.6,,948.6
24347,8481,707,3,NOS,18,-40,T,1272.6,,,0
24347,8481,910,3,NOS,18,-40,T,1638,2910.6,150,3060.6
24348,7307,450,4,NOS,18,0,F,1800,1800,,1800
24349,8481,480,4,NOS,18,-20,F,1536,1536,,1536
24350,8481,926,1,NOS,18,-35,F,601.9,601.9,,601.9
24351,8481,1676,1,NOS,18,-10,T,1508.4,1508.4,,1508.4
24352,8481,742,24,NOS,18,-35,F,11575.2,11575.2,,11575.2
24353,7307,10,20,NOS,18,-10,F,180,,0,0
24353,7307,12,20,NOS,18,-10,F,216,,,0
24353,7307,22,50,NOS,18,-10,F,990,,,0
24353,7307,27,4,NOS,18,-10,F,97.2,,,0
24353,7307,41,12,NOS,18,-10,F,442.8,,,0
24353,7307,44,20,NOS,18,-10,F,792,,,0
24353,7307,58,20,NOS,18,-10,F,1044,,,0
24353,7307,88,30,NOS,18,-10,F,2376,,,0
24353,7307,117,10,NOS,18,-10,F,1053,,,0
24353,7307,192,10,NOS,18,-10,F,1728,8919,,8919
24354,7307,12,20,NOS,18,-10,F,216,,250,250
24354,7307,27,60,NOS,18,-10,F,1458,,,0
24354,7307,45,15,NOS,18,-10,F,607.5,2281.5,,2281.5
24355,8481,707,4,NOS,18,-37,F,1781.64,,0,0
24355,8481,1374,10,NOS,18,-37,F,8656.2,,,0
24355,8481,2765,2,NOS,18,-37,F,3483.9,13921.74,,13921.74
24356,8481,2567,1,NOS,18,-37,F,1617.21,1617.21,0,1617.21
24357,8481,430,2,NOS,18,-20,F,688,,,0
24357,8481,480,2,NOS,18,-20,F,768,,,0
24357,8481,676,5,NOS,18,-20,F,2704,,,0
24357,8481,1016,2,NOS,18,-20,F,1625.6,5785.6,0,5785.6
24358,8481,309,40,NOS,18,-38,F,7663.2,7663.2,0,7663.2
24359,8481,595,10,NOS,18,-35,F,3867.5,3867.5,0,3867.5
24360,8481,305,340,NOS,18,-40,F,62220,,,0
24360,8481,707,93,NOS,18,-40,F,39450.6,101670.6,0,101670.6
24361,8481,2765,4,NOS,18,-40,F,6636,,,0
24361,8481,11060,3,NOS,18,-40,F,19908,,,0
24361,8481,16236,1,NOS,18,-40,F,9741.6,36285.6,0,36285.6
24362,8481,2765,6,NOS,18,-40,F,9954,,,0
24362,8481,11060,3,NOS,18,-40,F,19908,29862,0,29862
24363,8481,1016,4,NOS,18,-30,T,2844.8,2844.8,200,3044.8
