gst,bno,bdt,amt,pos,rchrg,invtyp,egst,taxr,taxbl,ces,igst,cgst,sgst
"27","012001",07/20/2017,1854,"",F,"R","",0.00,1571.85,0.00,0.00,141.00,141.00
"27","012002",07/26/2017,4092,"",F,"R","",0.00,3467.75,0.00,0.00,312.00,312.00
"27","012003",07/29/2020,5536,"",F,"R","",0.00,4692.24,0.00,0.00,422.00,422.00
