""," ","NOS",0.00,0,3900.00,0.00000000,351.00000000,351.00000000
"7306"," ","MTR",198.40,0,237980.80,0.00000000,21418.27200000,21418.27200000
"8481"," ","SET",17.00,0,54002.92,2185.38000000,3767.57280000,3767.57280000
