"3E SEPRATION SYSTEMS."," SUNDRY DEBT. OTHERS THAN MKT."
"CONCEPT ENTERPRISES."," Sundry Debtors"
"CONCEPT PHARMACEUTICALS LTD."," Sundry Debtors"
"COUNTER SALES"," Sundry Debtors"
"D.R. ENTERPRISE."," SUNDRY DEBT.MKT."
"D.V.ENTERPRISE."," Sundry Debtors"
"DAMANI ENTERPRISES."," SUNDRY DEBT. OTHERS THAN MKT."
"DAMJI DEVJI & CO."," Sundry Debtors"
"DATTA ENGINEERING CO."," Sundry Debtors"
"DECORA FURNISHERS."," Sundry Debtors"
"DEEPAK ENTERPRISES."," SUNDRY DEBT.MKT."
"DELTA FIRE ENGINEERS."," SUNDRY DEBT. OTHERS THAN MKT."
"DHARAVI MATUNGA ANAND CHS."," SUNDRY DEBT. OTHERS THAN MKT."
"DHARIWAL INFRASTRUCTURE LTD."," Sundry Debtors"
"DIAMOND TRADERS."," Sundry Debtors"
"DIAMOND TRADING CO."," Sundry Debtors"
"DIGICON ENGINEERS (I) P.LTD."," Sundry Debtors"
"DINSHI AMPOULES MAKERS P. LTD"," Sundry Debtors"
"DIP DARSHAN ENTERPRISES."," Sundry Debtors"
"DIPNAL VALVE AND TUBESTOS CO."," Sundry Debtors"
"DOGRA PUMPS."," Sundry Debtors"
"DOLPHINE MARINE FOODS."," Sundry Debtors"
"DOSHI HEATERS PVT.LTD."," Sundry Debtors"
"ECON ENGINEERS."," SUNDRY DEBT. OMS."
"ECOTECH AQUA ENVIRO ENGG."," Sundry Debtors"
"ECOTHERM ENERGY SYSTEMS."," Sundry Debtors"
"ELASTOMER LINING WORKS."," SUNDRY DEBT. OTHERS THAN MKT."
"ELECTRO LAB SERVICES."," Sundry Debtors"
"ELMECH ENGINEERS."," SUNDRY DEBT. OTHERS THAN MKT."
"EMERALD ENTERPRISES."," SUNDRY DEBT. OMS."
"ENAR CORPORATION"," Sundry Debtors"
"ENGINEERING CONSOLIDATED."," SUNDRY DEBT. OTHERS THAN MKT."
"ENGINEERING TRADE SYNDICATE"," Sundry Debtors"
"ENJAY ENTERPRISE."," SUNDRY DEBT. OTHERS THAN MKT."
"ESHAN TRADERS."," SUNDRY DEBT. OTHERS THAN MKT."
"ESKAY HEAT TRANSFERS PVT LTD."," SUNDRY DEBT. OTHERS THAN MKT."
"ESKAY PRODUCTS."," SUNDRY DEBT. OTHERS THAN MKT."
"Esmailji Nathubhai Nalwala"," SUNDRY DEBT. OTHERS THAN MKT."
"EVEREST SALES CORP."," Sundry Debtors"
"EXTINCT FIRE ENGINEERS P.LTD."," Sundry Debtors"
"EZONE SECURITY SOLUTIONS (I)."," Sundry Debtors"
"F.K.PATANWALA."," SUNDRY DEBT. OTHERS THAN MKT."
"FAIRDEAL TUBES CORP"," Sundry Debtors"
"FAIRFIELD ENGINEERS."," SUNDRY DEBT.MKT."
"Falguni Enterprise"," Sundry Debtors"
"FATHE ENTERPRISE."," Sundry Debtors"
"FERRI DIE CASTING WORKS."," Sundry Debtors"
"FEV INDIA PVT LTD."," SUNDRY DEBT. OTHERS THAN MKT."
"FIRE REMEDY SYSTEMS."," Sundry Debtors"
"FIRECON SPRINK.& CONTROL SYST."," Sundry Debtors"
"FIREFLY FIRE PUMPS PVT. LTD."," SUNDRY DEBT. OTHERS THAN MKT."
"FIRETECH EQIP.&SYSTEMP.LTD"," SUNDRY DEBT. OTHERS THAN MKT."
"FLORA INTERNATIONAL."," SUNDRY DEBT. OTHERS THAN MKT."
"FORMOKEMS (INDIA) CORP."," SUNDRY DEBT. OTHERS THAN MKT."
"FORTUNE TELECOM SYSTEM."," SUNDRY DEBT. OMS."
"FRIENDS & COMPANY."," Sundry Debtors"
"FRIGORIFICO ALLANA LTD."," SUNDRY DEBT. OTHERS THAN MKT."
"FRIGORIFICO ALLANA PVT LTD"," Sundry Debtors"
"FRIGORIFICO CONSERV.ALLANA LTD"," SUNDRY DEBT. OMS."
"G.A.BUILDERS P.LTD."," Sundry Debtors"
"G.P.SAJJAN"," SUNDRY DEBT. OMS."
"GAJMUKHA INDUSTRIES."," Sundry Debtors"
"GANDHI ENTERPRISE.(D'STHAN)."," Sundry Debtors"
"GANESH BENZOPLAST LTD."," Sundry Debtors"
"GASTRONICS."," Sundry Debtors"
"GAUTAM AGENCIES"," Sundry Debtors"
"Gautam Construction","Sundry Debtors"
"GAUTAM ENTERPRISE."," Sundry Debtors"
"GEETA ENTERPRISE.(DOMBI)."," Sundry Debtors"
"GENERALTRADING CORP.(Pun)"," Sundry Debtors"
"GLOBAL TRADERS."," Sundry Debtors"
"GMK AIRCON."," Sundry Debtors"
"GMP TECHNICAL SOLUTIONS"," Sundry Debtors"
"GODREJ & BOYCE MFG.CO.LTD."," Sundry Debtors"
"GOOD ENTERPRISE"," Sundry Debtors"
"GORADIA SPECIAL STEELS LTD."," Sundry Debtors"
"Govind Engineering Co."," SUNDRY DEBT. OTHERS THAN MKT."
"GRANDEZA BATH."," Sundry Debtors"
"H.J.INTERNATIONAL"," SUNDRY DEBT. OTHERS THAN MKT."
"H.JASVANTRAI ENGG.P.LTD."," Sundry Debtors"
"H.JASVANTRAI ENGG.P.LTD.(GUJ)."," Sundry Debtors"
"H.KAY ENGINEERS."," SUNDRY DEBT.MKT."
"H.M. TRADERS."," SUNDRY DEBT. OTHERS THAN MKT."
"H.R.CORPORATION."," Sundry Debtors"
"HAIFA ENGINEERING."," SUNDRY DEBT. OTHERS THAN MKT."
"HAL OFFSHORE LTD."," SUNDRY DEBT. OTHERS THAN MKT."
"HARI OM TRADING CO."," SUNDRY DEBT. OTHERS THAN MKT."
"HARSH ENTERPRISE."," Sundry Debtors"
"HBD PUMPS CONTRACTS CORP."," Sundry Debtors"
"HD FIRE PROTECT PVT LTD."," SUNDRY DEBT. OTHERS THAN MKT."
"Helix Techniks"," Sundry Debtors"
"HEM CORPORTION."," Sundry Debtors"
"HEM ENGINEERS."," Sundry Debtors"
"HEMAL TRADERS."," Sundry Debtors"
"HEMARUS INDUS LTD"," SUNDRY DEBT. OTHERS THAN MKT."
"HEMARUS INDUSTRIES LTD"," SUNDRY DEBT. OTHERS THAN MKT."
"HIGH RISE FIRE PROTECT. SYSTEM"," Sundry Debtors"
"HIMANSHU TRADERS."," SUNDRY DEBT.MKT."
"HIMATLAL & CO."," Sundry Debtors"
"HINDOCHA ENGINEERING CO"," Sundry Debtors"
"Hindustan Pencil Pvt Ltd (Slv)"," SUNDRY DEBT. OMS."
"HINDUSTAN PENCILS Pvt Ltd (UMG)"," Hindustan Group of Co"
"HINDUSTAN SANITARY STORE."," Sundry Debtors"
"HONEST ENTERPRISE."," Sundry Debtors"
"HONOUR ENTERPRISE."," SUNDRY DEBT. OTHERS THAN MKT."
"HRICSSONS ENTERPRISES"," Sundry Debtors"
"HUBLUXE ENGINEERING."," Sundry Debtors"
"HYD-AIR VALVES PVT LTD."," SUNDRY DEBT. OTHERS THAN MKT."
"HYDAC (INDIA)PVT LTD."," SUNDRY DEBT. OMS."
"HYDERABAD INDL.SUPPIERS"," SUNDRY DEBT. OMS."
"HYDROTECH SYSTEMS"," Sundry Debtors"
"I'NATIONAL WIRENETTING INDUS."," Sundry Debtors"
"I.M.ENTERPRISES."," Sundry Debtors"
"INDENT ONLINE SUPPLIES P.LTD."," Sundry Debtors"
"Indian Hose Mfg.Co."," SUNDRY DEBT.MKT."
"INDIAN SANITARY CENTRE."," Sundry Debtors"
"INDIAN TUBES & VALVES CO."," SUNDRY DEBT.MKT."
"INDUSTRIAL CARBON CO."," SUNDRY DEBT. OTHERS THAN MKT."
"Industrial Engineering System"," SUNDRY DEBT. OTHERS THAN MKT."
"INDUSTRIAL TRADERS."," Sundry Debtors"
"INDUTRIAL VALVES AND EQIPMENTS."," SUNDRY DEBT. OTHERS THAN MKT."
"INFRA SOLUTIONS."," Sundry Debtors"
"INFRA TECH."," Sundry Debtors"
"INNOVATIVE ENGINEERS."," SUNDRY DEBT. OTHERS THAN MKT."
"INTERNATIONAL TOOLS & HARDWARE SUPPLIERS"," Sundry Debtors"
"ISHWAR ENGENEERING COMPANY"," SUNDRY DEBT. OTHERS THAN MKT."
"IUMBO EXPORTS."," SUNDRY DEBT. OTHERS THAN MKT."
"J&J SANITATION."," Sundry Debtors"
"J.B.ECOTEX LLP."," Sundry Debtors"
"J.D ASSOCIATES."," SUNDRY DEBT. OTHERS THAN MKT."
"J.J. GANDHI CHEMICALS P. LTD."," Sundry Debtors"
"J.K. INDUSTRIES."," Sundry Debtors"
"J.K. TRADING SYNDICATE."," SUNDRY DEBT. OTHERS THAN MKT."
"J.K.INFRA-UTILITIES P.LTD."," Sundry Debtors"
"J.K.TRADERS."," Sundry Debtors"
"J.M.TRADERS."," Sundry Debtors"
"Jagdamba Industrial Corp"," SUNDRY DEBT. OMS."
"Jai Ambe Enterprise"," Sundry Debtors"
"JAIN TRADING CO."," Sundry Debtors"
"JAJU CHEMICALS P.LTD.(UNIT-II)"," Sundry Debtors"
"JALARAM HARDWARE STORES."," Sundry Debtors"
"JAMBOTKAR MEDEQUIP P.LTD."," Sundry Debtors"
"JAY LAXMI ENTERPRISES"," Sundry Debtors"
"JAYANTILAL & ASSOCIATES (I)."," Sundry Debtors"
"JAYASHREE PLUMBING CO.LLP."," Sundry Debtors"
"JAYSHREE TRADERS."," Sundry Debtors"
"JBRS PAINTS & PLASTICS."," SUNDRY DEBT. OMS."
"JBS HEATING SYSTEMS P.LTD."," SUNDRY DEBT. OMS."
"JENBURKT PHARM. LTD."," Sundry Debtors"
"JHAVERI BROTHERS."," Sundry Debtors"
"JITENDRA ENTERPRISE."," SUNDRY DEBT.MKT."
"JIVDANI CONSTRUCTION."," Sundry Debtors"
"JOBBY ENGINEERS P.LTD."," Sundry Debtors"
"JOSHI ENGINEERING."," Sundry Debtors"
"JOZA ENTERPRISES."," Sundry Debtors"
"JSW STEEL (SALAV) LTD."," Sundry Debtors"
"JUMBO EXPORTS."," SUNDRY DEBT. OTHERS THAN MKT."
"JYOTI IMPEX."," Sundry Debtors"
"JYOTI METAL CORP."," Sundry Debtors"
"JYOTI SALES CORP."," Sundry Debtors"
"K.D.BUILDING SOLUTIONS P.LTD."," Sundry Debtors"
"K.K. VALVES COMPANY."," SUNDRY DEBT.MKT."
"K.R.CORPORATION."," Sundry Debtors"
"K.T. CERAMICS."," SUNDRY DEBT. OTHERS THAN MKT."
"K.VALVES & TUBES ENGINEERS PLTD"," SUNDRY DEBT.MKT."
"Kalpatru Engineering"," SUNDRY DEBT. OTHERS THAN MKT."
"KALPESH ENTERPRISE."," Sundry Debtors"
"KAMLESH CORPORATION"," Sundry Debtors"
"KANADE AQUA FARM P.LTD."," Sundry Debtors"
"KANTILAL CHUNILAL &SONSPVT LTD."," SUNDRY DEBT. OTHERS THAN MKT."
"KAPOOR GLASS (IND) P.LTD."," SUNDRY DEBT. OTHERS THAN MKT."
"KARANJAWALA ASSOCIATES (ENGI.) P. LTD."," SUNDRY DEBT. OTHERS THAN MKT."
"KAZAF ENGINEERING CO."," Sundry Debtors"
"KDP ENGINEERS."," Sundry Debtors"
"KELVIN GAS TECHNOLOGIES P.LTD."," SUNDRY DEBT. OTHERS THAN MKT."
"KESARI CHEMICAL INDUSTRY"," Sundry Debtors"
"KETAN INDUSTRIES."," Sundry Debtors"
"KETAN TRADING CORPO."," SUNDRY DEBT.MKT."
"KHUSHBOO ENTERPRISES."," Sundry Debtors"
"KINJAL INTERNATIONAL."," Sundry Debtors"
"KIRLOSKAR PNEUMATICS CO.LTD."," Sundry Debtors"
"KLASS VELVETS P.LTD."," Sundry Debtors"
"KOLLURS FOODS PRODUCTS."," Sundry Debtors"
"Komal Industrial Corp."," Sundry Debtors"
"KOTHARI ENTERPRISE."," SUNDRY DEBT. OTHERS THAN MKT."
"KPANTECH ENTERPRISE."," SUNDRY DEBT. OMS."
"KRB INDUSTRIES."," Sundry Debtors"
"KRISHNA ENTERPRISE."," SUNDRY DEBT. OTHERS THAN MKT."
"KUBER AUTO PRESSING"," Sundry Debtors"
"Kunjan Engineering Corporation"," SUNDRY DEBT.MKT."
"L &T.LTD.(POWAI)."," Sundry Debtors"
"L&T LTD CONST (PUNE)"," Sundry Debtors"
"L&T LTD. CONST (BARC)"," Sundry Debtors"
"L&T.LTD.CONST.(POWAI)."," Sundry Debtors"
"LAKDAWALA & CO"," SUNDRY DEBT. OTHERS THAN MKT."
"LALIT TRADING CORPN."," SUNDRY DEBT.MKT."
"LARSEN & TOUBRO LTD CONSTRUCT."," SUNDRY DEBT. OTHERS THAN MKT."
"LARSEN&TOUBRO LTD."," SUNDRY DEBT. OMS."
"LAXMI ENTERPRISE.(LABDHI)."," Sundry Debtors"
"LAXMI ENTERPRISE.GHATOKPAR."," Sundry Debtors"
"LEBEN LABORATORIES P.LTD."," Sundry Debtors"
"LEHRY INSTRUMENTATION & VALVESPVT LTD."," Sundry Debtors"
"LODHA EXCELUS."," SUNDRY DEBT. OTHERS THAN MKT."
"LODHS FACILITIES MANAGEMENT."," SUNDRY DEBT. OTHERS THAN MKT."
"Lotus Trading Co."," SUNDRY DEBT. OTHERS THAN MKT."
"M.B.SUGAR & PHARMACUTICALS LTD"," SUNDRY DEBT. OTHERS THAN MKT."
"M.H ENGINEERING WORKS."," SUNDRY DEBT. OTHERS THAN MKT."
"M.K. ENGINEERING WORKS."," SUNDRY DEBT. OTHERS THAN MKT."
"M.K.ENTERPRISE.(BORIVALI)."," Sundry Debtors"
"M.K.TRADERS. (PUNE)"," Sundry Debtors"
"M.M.PUBLICATIONS LTD."," SUNDRY DEBT. OMS."
"M.M.SALES."," Sundry Debtors"
"M.N. INTERNATIONAL ENGINEERS."," Sundry Debtors"
"M.S. ENTERPRISE"," SUNDRY DEBT. OTHERS THAN MKT."
"M.V.ENTERPRISES.(SHOLAPUR)."," Sundry Debtors"
"M.Z.ENTERPRISES."," Sundry Debtors"
"MADRAS METALS."," Sundry Debtors"
"MAGANLAL PRANLAL & SONS."," SUNDRY DEBT.MKT."
"Magnichem  Industries."," SUNDRY DEBT. OTHERS THAN MKT."
"MAHARASHTRA RAJYA SAHAKARI-"," Sundry Debtors"
"MAHAVIR AGENCIES."," Sundry Debtors"
"MAHAVIR ENTERPRISE.(B'DARI ST)"," Sundry Debtors"
"MALHAR ENGINEERING WORKS"," SUNDRY DEBT. OMS."
"MALHAR VALVE MFG. CO"," SUNDRY DEBT. OTHERS THAN MKT."
"MANGAL ELECTRIC & HARDWARE"," Sundry Debtors"
"MANGAL TRADING CO."," Sundry Debtors"
"Mani Tool Centre"," SUNDRY DEBT.MKT."
"MANOJ FIRE EQUIPMENT'S P.LTD"," Sundry Debtors"
"MARICHI TEXTILE P.LTD."," Sundry Debtors"
"Marine Engineers Works"," SUNDRY DEBT. OMS."
"MARINE OFFSHORE SUPPLY"," Sundry Debtors"
"MAXITHERM BOILERS PVT LTD."," SUNDRY DEBT. OTHERS THAN MKT."
"Maxol Enterprises"," SUNDRY DEBT. OTHERS THAN MKT."
"MAYUR ENTERPRISE.(MULUND)."," Sundry Debtors"
"MAYUR ENTERPRISES"," Sundry Debtors"
"MAYUR TRADERS"," Sundry Debtors"
"MECHEXCEL ENGG.CO."," Sundry Debtors"
"MEENAKSHI ENGINEERS TRADERS."," Sundry Debtors"
"MEGHA ENGINEERING WORKS."," SUNDRY DEBT. OTHERS THAN MKT."
"MEGHA INDUSTRIES (BBY)"," SUNDRY DEBT. OTHERS THAN MKT."
"MEGHA INDUSTRIES."," Sundry Debtors"
"MEHTA BROTHERS & CO."," SUNDRY DEBT.MKT."
"MEHTA VALVE & ACCESSOR. P.LTD."," Sundry Debtors"
"MEHUL SANITARY CORPORATION"," Sundry Debtors"
"Mehul Sanitation"," SUNDRY DEBT. OTHERS THAN MKT."
"Metal Link Alloys Ltd."," SUNDRY DEBT. OTHERS THAN MKT."
"MEW ENGINEERING WRKS PVT LTD."," SUNDRY DEBT. OMS."
"MIC ENGINEERS PVT. LTD."," SUNDRY DEBT. OTHERS THAN MKT."
"Micro Valves Engg.Co."," Sundry Debtors"
"MIGHTY MARKETING."," Sundry Debtors"
"MIICRON WIRES & POLYMERS P.LTD"," Sundry Debtors"
"MILAN FABRICATORS."," Sundry Debtors"
"Mini Max Pumps"," Sundry Debtors"
"Mitesh Construction Pvt Ltd"," SUNDRY DEBT. OTHERS THAN MKT."
"Modern Ceramics."," Sundry Debtors"
"MODERNIZING TRENDS P.LTD."," Sundry Debtors"
"MOHAMMEDI H/WARE.& ENGG.STORES"," Sundry Debtors"
"MOHAMMEDI HARDWARE SUPPLY."," Sundry Debtors"
"Mohatta & Rane Synthetic P Ltd."," Sundry Debtors"
"MONAL COLOUR INDUSTRIES."," SUNDRY DEBT. OMS."
"MONSHER FIRE CONTROLS PVT LTD."," SUNDRY DEBT. OTHERS THAN MKT."
"Monsher Fire Protection System"," SUNDRY DEBT. OTHERS THAN MKT."
"Moon Sales Corpo.(Asgarbhai)"," SUNDRY DEBT.MKT."
"MOTILAL KALYANDAS CO"," Sundry Debtors"
"MOUNT MERU INDIA P.LTD.","Sundry Debtors"
"MOUNT MERU INDIA P.LTD.","Sundry Debtors"
"MR.RAVINDRA K MARIWALA"," Sundry Debtors"
"MRUDULA ENGINEERS."," Sundry Debtors"
"MUKESH & CO."," Sundry Debtors"
"MUKESH ENTERPRISES URAN"," Sundry Debtors"
"MULTITECH ENGINEERS."," Sundry Debtors"
"MUMBAI PORT TRUST"," Sundry Debtors"
"MUNIX (INDIA ) PVT LTD."," SUNDRY DEBT. OMS."
"N.J.ENTERPRISES."," Sundry Debtors"
"N.K. DAYAFULE."," Sundry Debtors"
"N.M. DHARIA & CO."," Sundry Debtors"
"N.P.Enterprise"," SUNDRY DEBT. OTHERS THAN MKT."
"N.R.ENTERPRISES."," SUNDRY DEBT. OTHERS THAN MKT."
"N.S.HYDRAULIK"," Sundry Debtors"
"N18 SANITATION & FIREFIGHTING SYSTEM."," SUNDRY DEBT. OTHERS THAN MKT."
"NAKODA ELECTRICALS & H/WARE."," Sundry Debtors"
"NAKODA TRADERS."," SUNDRY DEBT.MKT."
"NATIONAL HARDWARE STORE."," Sundry Debtors"
"National Metal Industries(Kika)"," SUNDRY DEBT. OTHERS THAN MKT."
"National Metal Industries.(Krntk)"," SUNDRY DEBT. OMS."
"National Trading Corp."," SUNDRY DEBT. OTHERS THAN MKT."
"NATVERLAL CHANDULAL  C0."," SUNDRY DEBT.MKT."
"NAVBHARAT INDUSTRIAL NEEDS."," Sundry Debtors"
"NAVJEEVAN SYNTHETICS P LTD."," SUNDRY DEBT. OTHERS THAN MKT."
"NAVKAR DEVELOPERS."," Sundry Debtors"
"NAVKAR ENTERPRISES."," Sundry Debtors"
"Navratna Textile Mills  P.Ltd."," Sundry Debtors"
"Nectar Instrumentation LLP"," Sundry Debtors"
"NEW BOMBAY H/W TRADERS PVT LTD."," SUNDRY DEBT. OTHERS THAN MKT."
"NEW PARTY."," Sundry Debtors"
"NEW STAR ELECTRIC WORKS."," Sundry Debtors"
"NEWAGE FIRE PROTECT.ENGRS."," Sundry Debtors"
"NEWAGE FIRE PROTECT.INDUST."," Sundry Debtors"
"NEWTECH ENTERPRISES."," Sundry Debtors"
"NIPUR CHEMICALS LTD."," Sundry Debtors"
"NIRMAL AGENCIES."," Sundry Debtors"
"NISE PHARMA CHEM P.LTD."," Sundry Debtors"
"NISH DEVELOPERS P.LTD."," Sundry Debtors"
"NISSI ENGG.CO.P.LTD."," Sundry Debtors"
"NNM ENTERPRISES."," SUNDRY DEBT. OTHERS THAN MKT."
"NOOROODIN SHAIKADAM & CO."," SUNDRY DEBT.MKT."
"OCEAN VALVES & EQUIPMENTS."," Sundry Debtors"
"OCEANIC ENVIRO [I] PVT LTD."," Sundry Debtors"
"OFFSHORE TRADING SERVICES."," Sundry Debtors"
"OM ENTERPRISE"," SUNDRY DEBT.MKT."
"OM SHANTI MARINE SERVICES"," SUNDRY DEBT. OTHERS THAN MKT."
"OM VAISHNAVI ELECTRICALS."," Sundry Debtors"
"OMKAR ENGG.WORKS."," Sundry Debtors"
"OMNI MARINE ENGRS & CNSLTNTS"," Sundry Debtors"
"OMSHREE AGRO TECH ltd."," Sundry Debtors"
"Orbit Fine Chem"," SUNDRY DEBT. OTHERS THAN MKT."
"ORIGIN QUALITY SERVICES."," Sundry Debtors"
"P.C. ENGINEERING CORPORATION."," SUNDRY DEBT. OTHERS THAN MKT."
"P.P.ENTERPRISES."," Sundry Debtors"
"PADMAVATI TUBE TRADERS."," Sundry Debtors"
"PAL FASHIONS PVT.LTD."," SUNDRY DEBT. OTHERS THAN MKT."
"PAMS INDUSTRIES"," SUNDRY DEBT. OTHERS THAN MKT."
"Panchsheel Co.Op. Hsg.Soc. Ltd."," SUNDRY DEBT. OTHERS THAN MKT."
"PANCHSHEEL ENGG. CORP."," Sundry Debtors"
"PANKAJ HARDWARE"," SUNDRY DEBT.MKT."
"PANKAJ TRADING CO."," Sundry Debtors"
"PARAS ENTERPRISE.(DAHISAR)."," Sundry Debtors"
"PARAS PIPE FITTINGS CO."," Sundry Debtors"
"PARAS SALES CORPO."," SUNDRY DEBT. OTHERS THAN MKT."
"PAREKH SALES CORPORATION."," Sundry Debtors"
"PARIKH INDUSTRIAL CORPORATION"," SUNDRY DEBT. OTHERS THAN MKT."
"PARIS ELECTRICAL & HRDWR STORE"," Sundry Debtors"
