"3E SEPRATION SYSTEMS."," SUNDRY DEBT. OTHERS THAN MKT."
"PARMAR ENTERPRISES"," Sundry Debtors"
"PARSHAWA ENTERPRISES."," Sundry Debtors"
"PASHMINA CHS. LTD."," Sundry Debtors"
"PATEL ENTERPRISE"," Sundry Debtors"
"PATEL PUMPS."," SUNDRY DEBT. OTHERS THAN MKT."
"PATEL STATIONERS PVT. LTD."," Sundry Debtors"
"PATEL VALVES & TUBES CORP."," Sundry Debtors"
"PATSON VALVES & ENG. INDUS."," SUNDRY DEBT. OTHERS THAN MKT."
"PBS ELECTRONICS."," SUNDRY DEBT. OTHERS THAN MKT."
"PBS WATERTECH PVT LTD."," Sundry Debtors"
"PFS SHIPPING (INDIA) LTD."," Sundry Debtors"
"PHIROZE KARAKA & CO."," Sundry Debtors"
"PINNACLE FASHIONS."," SUNDRY DEBT. OTHERS THAN MKT."
"PLASTO-FIELD."," Sundry Debtors"
"POLYMER MOULDING WORKS"," Sundry Debtors"
"POLYRUB EXTRUSIONS (I) P.LTD."," Sundry Debtors"
"POOJA AGENCY."," SUNDRY DEBT. OTHERS THAN MKT."
"POOJA ENTERPRISE."," Sundry Debtors"
"POWER ENTERPRISES."," Sundry Debtors"
"PRACHI PHARMACEUTICAL PVT LTD."," SUNDRY DEBT. OTHERS THAN MKT."
"PRADIP ENGINEERING STORE."," Sundry Debtors"
"PRAKIN EQUIPMENT P. LTD."," Sundry Debtors"
"Prakin Equipments Pvt. Ltd."," Sundry Debtors"
"PRANAL SALES."," Sundry Debtors"
"PRASAD POLYMER"," SUNDRY DEBT. OTHERS THAN MKT."
"PRASAD POLYMERS."," Sundry Debtors"
"PRASAD Y. KHANOLKAR."," SUNDRY DEBT. OTHERS THAN MKT."
"PRATHAM SERVICES."," SUNDRY DEBT. OTHERS THAN MKT."
"PRATIK TRADING CORPORATION."," Sundry Debtors"
"PRATIMA ENTERPRISES."," SUNDRY DEBT. OTHERS THAN MKT."
"PRATIMA ENTERPRISES[SHUKARWARPETH]"," SUNDRY DEBT. OTHERS THAN MKT."
"Pratul Dalal"," SUNDRY DEBT. OTHERS THAN MKT."
"Prayosha Enterprise."," Sundry Debtors"
"PRECISION ELEC.INST.& COMPANY."," SUNDRY DEBT. OTHERS THAN MKT."
"PREMIER TUBE AGENCY"," Sundry Debtors"
"President Valves (India)"," Sundry Debtors"
"PRESIDENTS VALVES & TUBES."," Sundry Debtors"
"PRESTIGE INDL.TRADERS."," SUNDRY DEBT. OMS."
"PRIME ENGINEERS."," SUNDRY DEBT.MKT."
"Prime Industrial Valves Mfg. Co",""
"PRIMESH TRADING CO."," Sundry Debtors"
"PRINCE MULTIPLAST PVT.LTD."," Sundry Debtors"
"PRINCE SIZERS PVT LTD."," Sundry Debtors"
"PRITESH CONSTRUCTION."," Sundry Debtors"
"Priya Engineers & Contractors."," SUNDRY DEBT. OTHERS THAN MKT."
"Priyadarshini Sahkari Soot Girni Ltd."," Sundry Debtors"
"PRIYANSHI ENTERPRISES"," Sundry Debtors"
"Progress (India) Enterprise"," SUNDRY DEBT.MKT."
"PROGRESSIVE CIVIL C ONST CO [P] LTD."," SUNDRY DEBT. OTHERS THAN MKT."
"PROLIFIC SYSTEM & TECHNO.P.LTD"," Sundry Debtors"
"PUKHRAJ ADDITIVES LLP."," Sundry Debtors"
"PUSHTI ENTERPRISE."," Sundry Debtors"
"PVCCONVERTERS [INDIA] PVT LTD"," SUNDRY DEBT. OTHERS THAN MKT."
"PYLON ENGINEERS."," Sundry Debtors"
"QASWA ENTERPRISES"," SUNDRY DEBT.MKT."
"QBIX INFRA LLP.","Sundry Debtors"
"Quality Machine Tools Corporation"," SUNDRY DEBT. OMS."
"R&D Multiplast  (Metal Cast) P. Ltd."," SUNDRY DEBT. OMS."
"R.C.TECHNOCOMP SERVICES P.LTD."," Sundry Debtors"
"R.D.MACHINERY STORES."," Sundry Debtors"
"R.H.J.INDUSTRIES P.LTD."," Sundry Debtors"
"R.JAYESHKUMAR & CO."," SUNDRY DEBT.MKT."
"R.K. Enterprise."," Sundry Debtors"
"R.K.INDUSTRIAL CORP."," SUNDRY DEBT. OTHERS THAN MKT."
"RAAH INTERNATIONAL INDIA P.LTD"," Sundry Debtors"
"RAAH INTERNATIONAL INDIA PVTLTD."," Sundry Debtors"
"RACHNA TRADING CORPO."," SUNDRY DEBT. OTHERS THAN MKT."
"RADIANT ENGINEERING WORKS."," Sundry Debtors"
"RAJ AGENCY."," SUNDRY DEBT. OTHERS THAN MKT."
"Raj Boilers Pvt. Ltd."," Sundry Debtors"
"RAJ ENTERPRISES."," Sundry Debtors"
"RAJ ENTERPRISES.(N.SOPARA)."," Sundry Debtors"
"RAJ HARDWARE TRADING."," Sundry Debtors"
"Raj Industries."," Sundry Debtors"
"RAJ TRADE CENTRE."," Sundry Debtors"
"RAJALAXMI INDUSTRIES."," Sundry Debtors"
"RAJANI ENTERPRISE."," Sundry Debtors"
"RAJARAM MAIZE PRODUCTS."," SUNDRY DEBT. OTHERS THAN MKT."
"RAJASHREE CEMENT."," Sundry Debtors"
"RAJAT METALS."," Sundry Debtors"
"RAJDEEP BUILDCON P.LTD."," Sundry Debtors"
"RAJDEEP DISTRIBUTORS PVT. LTD."," SUNDRY DEBT.MKT."
"RAJDEEP INDUS.PRODUCT PVT.LTD."," SUNDRY DEBT.MKT."
"RAJESH TRADE CENTER."," Sundry Debtors"
"RAJHANS FIRE SYSTEM."," SUNDRY DEBT. OTHERS THAN MKT."
"RAJLAXMI HOME PRODUCT P.LTD."," Sundry Debtors"
"RAMESH M.DESALE."," Sundry Debtors"
"RATILAL & CO."," SUNDRY DEBT. OTHERS THAN MKT."
"RATIONAL ART & TRESS P LTD."," SUNDRY DEBT. OTHERS THAN MKT."
"RAVIRAJ ENTERPRISES."," Sundry Debtors"
"RAZ BOILERS PVT. LTD."," SUNDRY DEBT. OTHERS THAN MKT."
"REAL CERAMIC."," Sundry Debtors"
"REGAL ENTERPRISE"," SUNDRY DEBT.MKT."
"REGAL TOOLS CENTRE."," Sundry Debtors"
"REGAL TRADING COMPANY"," Sundry Debtors"
"RELIABLE SYSTEM & CONTROLS."," SUNDRY DEBT. OTHERS THAN MKT."
"RELIABLE VALVES & PNEUMATICS."," Sundry Debtors"
"Reliance Scientific Co."," SUNDRY DEBT. OTHERS THAN MKT."
"RENGIN CONSTRUCTION"," SUNDRY DEBT. OTHERS THAN MKT."
"RENJIN CONSTRUCTION."," Sundry Debtors"
"RESIDENCY HOTEL"," SUNDRY DEBT. OTHERS THAN MKT."
"REVOLVE VALVES & BEARINGS."," SUNDRY DEBT. OTHERS THAN MKT."
"RICH AUDIO SYSTEMS."," SUNDRY DEBT. OMS."
"RIDDHI SIDDHI & CO."," Sundry Debtors"
"RIDDHI SIDDHI CORP."," Sundry Debtors"
"RISHABH SANITATION."," Sundry Debtors"
"Ritu Appartment"," SUNDRY DEBT. OTHERS THAN MKT."
"RIVER GATE RESORT"," Sundry Debtors"
"RIVERSIDE INDUSTRIES LTD."," Sundry Debtors"
"ROCK STONE INDUSTRIES."," SUNDRY DEBT. OMS."
"ROHIT ENTERPRISE."," SUNDRY DEBT. OTHERS THAN MKT."
"ROLEX AGENCY."," Sundry Debtors"
"RONAK ENTERPRISES."," Sundry Debtors"
"ROOMY ENTERPRISE"," Sundry Debtors"
"ROWTECH ENG.& CONSTRUSTION."," SUNDRY DEBT. OTHERS THAN MKT."
"ROYAL CERAMIC"," Sundry Debtors"
"ROYAL HARDWARE MART"," Sundry Debtors"
"ROYAL SANITARY."," Sundry Debtors"
"ROYAL TRADERS."," SUNDRY DEBT. OTHERS THAN MKT."
"ROYAL TRADERS.(CHHIKUWADI)."," Sundry Debtors"
"RUCHI ENTERPRISES"," SUNDRY DEBT. OTHERS THAN MKT."
"RUCHIT TUBE CO."," Sundry Debtors"
"RUNA ENTERPRISES."," Sundry Debtors"
"RUPALI ENTERPRISES."," Sundry Debtors"
"RUSHABH ENGINEERING."," Sundry Debtors"
"RUSHABH MARKETING"," Sundry Debtors"
"RUSHABH TRADING CO."," Sundry Debtors"
"RVR PROJECTS P.LTD."," Sundry Debtors"
"RYME ENERGY SYSTEMS PVT LTD."," Sundry Debtors"
"S K ENTERPRISE"," Sundry Debtors"
"S S ENTERPRISE."," SUNDRY DEBT. OTHERS THAN MKT."
"S.A.F.ENGINEERING."," Sundry Debtors"
"S.B.ENTERPRISES."," Sundry Debtors"
"S.B.PANCHAL & CO."," Sundry Debtors"
"S.BALUBHAI & CO"," Sundry Debtors"
"S.D.AUTOMOBILES WORKS."," Sundry Debtors"
"S.D.M.I.D."," Sundry Debtors"
"S.D.MEP SERVICES."," Sundry Debtors"
"S.I.G.T PRIVATE LIMETED."," SUNDRY DEBT. OMS."
"S.K.DHONDY & CO."," Sundry Debtors"
"S.K.GUPTA & CO."," SUNDRY DEBT. OTHERS THAN MKT."
"S.M. ENTERPRISE."," SUNDRY DEBT. OTHERS THAN MKT."
"S.N.CONSTRUCTION."," Sundry Debtors"
"S.N.PLUMBING PVT.LTD."," Sundry Debtors"
"S.R ENGINEERING CORP."," SUNDRY DEBT. OTHERS THAN MKT."
"S.R.SALES CORP."," Sundry Debtors"
"S.S.ENTERPRISES.(COLABA)."," Sundry Debtors"
"S.S.K Engg. Works (India) Pvt Ltd"," SUNDRY DEBT. OTHERS THAN MKT."
"S.V.ENTERPRISES."," Sundry Debtors"
"S.V.GARMENT MACHINERY."," SUNDRY DEBT. OMS."
"SAFEWORLD SYSTEMS P.LTD"," Sundry Debtors"
"SAGAR ENTERPRISE.(N.DHURU)."," Sundry Debtors"
"SAGAR SHIP REPAIRERS & MARINE."," Sundry Debtors"
"Sahara Engineering Corp"," Sundry Debtors"
"SAHARA TRADING CORP."," SUNDRY DEBT. OTHERS THAN MKT."
"SAHYADRI INDL.TRADERS."," Sundry Debtors"
"SAI ENTERPRISES."," SUNDRY DEBT.MKT."
"SAI INDUSTRIES."," Sundry Debtors"
"SAI SYSTEMS."," Sundry Debtors"
"SAIF ENTERPRISES."," Sundry Debtors"
"SAIFEE HARDWARE & TOOLS."," Sundry Debtors"
"SAILEELA AMMONIA & CHEM.P.LTD."," Sundry Debtors"
"SAKSHI ENTERPRISE."," SUNDRY DEBT. OTHERS THAN MKT."
"SAMARTH ENGINEERING CO."," Sundry Debtors"
"Samir Engineering Corp."," SUNDRY DEBT.MKT."
"Samruddhi Steel"," Sundry Debtors"
"SAMRUDHI CHEMICALS."," Sundry Debtors"
"SAMSON TRADING CO."," SUNDRY DEBT. OTHERS THAN MKT."
"SANADI FOUNTAIN & AQUA PROJ.-"," Sundry Debtors"
"SANDIP STEEL CENTRE."," Sundry Debtors"
"SANGAM HARDWARE."," SUNDRY DEBT. OTHERS THAN MKT."
"SANGAWAR PNEUMATICS."," SUNDRY DEBT. OTHERS THAN MKT."
"Sanghvi Furniture Pvt. Ltd."," SUNDRY DEBT. OTHERS THAN MKT."
"SANGHVI MANAGEMENT SERVICES"," Sundry Debtors"
"SANGHVI OVERSEAS."," Sundry Debtors"
"Sanghvi Woods Pvt Ltd (Jam)"," SUNDRY DEBT. OMS."
"Sanghvi Woods Pvt Ltd (UMG)"," Hindustan Group of Co"
"SANGHVI WOODS Pvt Ltd(ACH)"," Hindustan Group of Co"
"Sani Plumb Corp."," SUNDRY DEBT. OTHERS THAN MKT."
"SANJAY ENTERPRISES."," SUNDRY DEBT. OTHERS THAN MKT."
"SANJAY TRADING CORPO."," SUNDRY DEBT.MKT."
"SANJIVAN INDUSTRES PVT LTD."," SUNDRY DEBT. OTHERS THAN MKT."
"SANJIVAN INDUSTRIES."," SUNDRY DEBT. OTHERS THAN MKT."
"SANKESHWAR TRADERS."," Sundry Debtors"
"SANKET PLANTS & EQUIPMENTS."," SUNDRY DEBT. OTHERS THAN MKT."
"Sanskar Metal & Alloys"," SUNDRY DEBT. OTHERS THAN MKT."
"SANTOSH AGENCIES."," Sundry Debtors"
"SANTOSH RUBBER MACHINERY P LTD"," SUNDRY DEBT. OTHERS THAN MKT."
"SANVIK ENGINEERS & CO."," Sundry Debtors"
"SAPPHIRE FIRE PROTECTION ENGG."," Sundry Debtors"
"SARASWATI FIRE PROTECT SYSTEM."," SUNDRY DEBT. OTHERS THAN MKT."
"SARKAR TOWER CO-OP HSG SOC LTD."," SUNDRY DEBT. OTHERS THAN MKT."
"SARVANI MACHINE TOOLS."," Sundry Debtors"
"Satrac Engineering Co. P.Ltd"," SUNDRY DEBT. OMS."
"Saturn Engineering Service"," SUNDRY DEBT. OMS."
"SATURN ENGINEERING SERVICES."," SUNDRY DEBT. OMS."
"SATYAM PHARMA-CHEM PVT. LTD."," Sundry Debtors"
"SAWANT ENTERPRISES."," Sundry Debtors"
"SBEM PVT.LTD."," Sundry Debtors"
"SBL COLORTECH PVT. LTD."," Sundry Debtors"
"SCIENTIFIC PRECISION P.LTD."," Sundry Debtors"
"SEALING SYSTEM CORPORATION"," Sundry Debtors"
"SECON ENGIN.& CONSTRUCT.CO."," Sundry Debtors"
"SELECTION H/W & MACHINE TOOLS."," Sundry Debtors"
"SEPAL TRADERS."," Sundry Debtors"
"SEQUATAL CONTROL PVT LTD."," SUNDRY DEBT. OTHERS THAN MKT."
"SETHIA ENTRPRISES."," Sundry Debtors"
"SEW ENGG.(INDIA) P.LTD."," Sundry Debtors"
"SEYA INDUSTRIES LTD."," Sundry Debtors"
"SHAH CERAMIC."," SUNDRY DEBT.MKT."
"SHAH INDUSTRIES."," SUNDRY DEBT. OTHERS THAN MKT."
"SHAH TRADERS."," SUNDRY DEBT.MKT."
"SHAKTI MINING EQUIPMENTS P.LTD"," Sundry Debtors"
"SHAN LUBE EQIPMENT PVT LTD."," SUNDRY DEBT. OTHERS THAN MKT."
"SHANTI ENTERPRISES."," Sundry Debtors"
"Shanti Sanitaryware"," SUNDRY DEBT. OTHERS THAN MKT."
"SHANTI TRADING CO."," SUNDRY DEBT.MKT."
"SHARUN ENG. CO. PVT LTD."," SUNDRY DEBT. OTHERS THAN MKT."
"SHARUN ENGG. CO. PVT. LTD."," Sundry Debtors"
"SHASHIRAJ AGENCY."," SUNDRY DEBT. OMS."
"SHERBAUGH RESORT."," Sundry Debtors"
"SHES AIR & AUTOMATION."," SUNDRY DEBT. OTHERS THAN MKT."
"SHETH TRADING CORPORATION.."," SUNDRY DEBT.MKT."
"SHIVAM ENTERPRISES."," Sundry Debtors"
"SHRADDHA ENGG. CORPORATION."," Sundry Debtors"
"SHREE BALAJI ENTERPRISE."," Sundry Debtors"
"SHREE BALAJI TRADERS"," Sundry Debtors"
"SHREE CHAMUNDA ENTERPRISE."," SUNDRY DEBT.MKT."
"SHREE ENGINEERING CORPORATION."," Sundry Debtors"
"SHREE ENGINEERING SPARES CO."," Sundry Debtors"
"SHREE ENTERPRISE.(VASAI)."," Sundry Debtors"
"SHREE INDUSTRIES"," Sundry Debtors"
"Shree Jyoti Processors."," SUNDRY DEBT. OTHERS THAN MKT."
"SHREE KRISHNA FABRICA.P.LTD."," Sundry Debtors"
"SHREE MAHALAXMI AGENCIES."," Sundry Debtors"
"SHREE MALINATH MARKT & SERVICE"," Sundry Debtors"
"SHREE MATESHWARI ENTERPRISES."," Sundry Debtors"
"SHREE MITRA PURIFICATIONS."," Sundry Debtors"
"SHREE OM INTERNATIONAL"," Sundry Debtors"
"SHREE SHANTI CERAMIC"," Sundry Debtors"
"SHREE SHYAM ENTERPRISES."," Sundry Debtors"
"SHREE SWAMISAMARTH ENT."," Sundry Debtors"
"SHREE VIMALNATH."," Sundry Debtors"
"SHREEJI CORPORATION."," SUNDRY DEBT. OTHERS THAN MKT."
"SHREEJI ENGINEERING."," Sundry Debtors"
"Shreeji Enterprise."," Sundry Debtors"
"SHREEJI ENTERPRISES (ADH)"," Sundry Debtors"
"SHREEJI ENTERPRISES (MULUND)"," Sundry Debtors"
"SHREEJI HARDWARE."," SUNDRY DEBT. OTHERS THAN MKT."
"SHREEJI SALES CORPORATION"," Sundry Debtors"
"SHREEJI SYNDICATE."," Sundry Debtors"
"SHREENATH INDUSTRIES."," Sundry Debtors"
"SHREEPAD TEXTILE (EXPORT UNIT)"," SUNDRY DEBT. OTHERS THAN MKT."
"SHREYANS INDUSTRIES."," SUNDRY DEBT. OTHERS THAN MKT."
"SHREYAS HYDROTECH SALES & SERV"," Sundry Debtors"
"Shreyas Sanyojak."," Sundry Debtors"
"Shri Pooja Enterprises"," SUNDRY DEBT. OTHERS THAN MKT."
"SHRI SWAMI SAMRATH ENTERPRISES"," SUNDRY DEBT. OTHERS THAN MKT."
"SHRIPAD ENTERPRISE."," SUNDRY DEBT. OTHERS THAN MKT."
"SHRIRAM PAPER MILL."," SUNDRY DEBT. OTHERS THAN MKT."
"SHRISHAIL AGENCIES."," SUNDRY DEBT. OTHERS THAN MKT."
"SHRUTI ENTERPRISES."," Sundry Debtors"
"SHUBHAM ENTERPRISE."," Sundry Debtors"
"SHWETA ENGINEERS"," Sundry Debtors"
"SIDDARTH ENG. WORKS."," SUNDRY DEBT. OMS."
"SIDDHAKALA ENGG.P.LTD.","Sundry Debtors"
"SIDDHARTH ENGINEERING CORP."," Sundry Debtors"
"SIDDHARTH TRADING CO."," Sundry Debtors"
"SIDDHI CONSTRUSTION."," SUNDRY DEBT. OTHERS THAN MKT."
"SIDDHI ENTERPRISES"," Sundry Debtors"
"SIDDHI TRADING CO."," Sundry Debtors"
"SIGMA MARINE & OFFSHORE SUPPLI"," Sundry Debtors"
"SILVO LIACAL CHEMICALS LTD."," SUNDRY DEBT. OTHERS THAN MKT."
"SINGH HINDUSTAN MARIN PVT.LTD."," Sundry Debtors"
"SIOSA ENTERPRISES."," Sundry Debtors"
"Skandwil India Pvt Ltd."," Sundry Debtors"
"SKYLINE ENGINEERS"," Sundry Debtors"
"SMITH INDUSTRIAL AGENCIES"," Sundry Debtors"
"SOAX FLORA."," SUNDRY DEBT. OTHERS THAN MKT."
"SOEX FLORA."," SUNDRY DEBT. OTHERS THAN MKT."
"SOHAM TRADING CORPORATION."," SUNDRY DEBT. OTHERS THAN MKT."
"SOLITAIRE APARTMENTS CONDOMINI"," Sundry Debtors"
"SOLITAIRE BUSINESS SYSTEMS."," Sundry Debtors"
"SOMAIYA ORGANO CHEMICALS LTD."," Sundry Debtors"
"SOMNATH PRODUCTS."," Sundry Debtors"
"Soms Engineering Co."," Sundry Debtors"
"SOPARIWALA EXPORTS PVT. LTD."," Sundry Debtors"
"SPACE PHARMACHEM STEEL INDUS."," Sundry Debtors"
"SPACK CHEMICALS PVT LTD."," SUNDRY DEBT. OTHERS THAN MKT."
"STANDARD ENGINEERING CO."," Sundry Debtors"
"STAR BEARING CORP."," Sundry Debtors"
"STARTECH ENGINEERS"," Sundry Debtors"
"STATE TRANSPORT MAHARASHTRA"," Sundry Debtors"
"STEAM FLOW TRADING CORP."," Sundry Debtors"
"STEAMAX INC CORPORATION."," SUNDRY DEBT.MKT."
"Steamflow Pvt Ltd."," Sundry Debtors"
"STEAMTECH ENGINEERING"," SUNDRY DEBT. OTHERS THAN MKT."
"STEEL AGE CORPORATION"," SUNDRY DEBT.MKT."
"Steel Tube Corporation"," Sundry Debtors"
"Sterling Auxiliaries Pvt. Ltd."," Sundry Debtors"
"STERLING GENERATORS P.LTD."," Sundry Debtors"
"STS CHEMICALS LTD."," Sundry Debtors"
"SUDHA AGENCY."," Sundry Debtors"
"SUHAS TRADING CORP."," Sundry Debtors"
"SUKANYA ENTERPRISE"," Sundry Debtors"
"SUMIRAN ENGINEERS."," Sundry Debtors"
"SUN ENTERPRISE."," Sundry Debtors"
"SUN STEEL CORP."," SUNDRY DEBT.MKT."
"Sunil Enterprises"," SUNDRY DEBT. OTHERS THAN MKT."
"SUNIL INDUSTRIES LIMITED."," Sundry Debtors"
"SUNRISE CORPORATION."," SUNDRY DEBT.MKT."
"SUNRISE ELECTRO MELT LTD."," SUNDRY DEBT. OTHERS THAN MKT."
"SUPERB TRADING CO."," Sundry Debtors"
"SUPERMAX BOILER ENGINEERS"," Sundry Debtors"
"SUPREME HARDWARE."," Sundry Debtors"
"SUPREME MARKETING BOMBAY."," Sundry Debtors"
"SUREFLO TECHCON P.LTD."," Sundry Debtors"
"SURESH RAMANI."," Sundry Debtors"
"SURVODAYA RUBBER TRAD.CO."," Sundry Debtors"
"Sushila Petroleum"," SUNDRY DEBT. OMS."
"SUTANTU SIZERS PVT LTD."," Sundry Debtors"
"SUYASH ENTERPRISES"," Sundry Debtors"
"SWASTIK BEARING ENTERPRISES."," SUNDRY DEBT.MKT."
"SWASTIK ENGG.& VALVE MFG."," Sundry Debtors"
"SWASTIK ENGINEERING."," Sundry Debtors"
"SWASTIK ENTERPRISE.(MP)"," Sundry Debtors"
"SWASTIK ENTERPRISES (PYDNI)."," Sundry Debtors"
"SWASTIK ENTERPRISES."," Sundry Debtors"
"SWASTIK ENTERPRISES.(WALUJ)."," Sundry Debtors"
"SWASTIK HARDWARE.(FORT)."," Sundry Debtors"
"SWASTIK SALES CORPORATION"," Sundry Debtors"
"SWASTIK TRADING CORP."," SUNDRY DEBT.MKT."
"Swastik Trading Corporaton."," Sundry Debtors"
"SWIFT MARINE SERVICES."," SUNDRY DEBT. OTHERS THAN MKT."
"SYL-MAC INTERNATIONAL"," Sundry Debtors"
"SYNDICATE SALES CORP."," Sundry Debtors"
"T.NIRANJAN & CO."," Sundry Debtors"
"TANAJI PLUMBING WORKS."," Sundry Debtors"
"TANISHA ENTERPRISES."," Sundry Debtors"
"TANNA TRADERS."," Sundry Debtors"
"TARIKA PATNI."," SUNDRY DEBT. OMS."
"TATVIK ENGG.CORP."," Sundry Debtors"
"TECHBUILD."," Sundry Debtors"
"TECHINICAL HYDROLIC INDUSTRIES."," SUNDRY DEBT. OTHERS THAN MKT."
"TECHNE INFRA (I) P.LTD."," Sundry Debtors"
"TECHNI AIDS."," SUNDRY DEBT. OMS."
"TECHNO AID CORPORATION."," Sundry Debtors"
"TECHNO FIRE CONTROLS P.LTD."," Sundry Debtors"
"TECHNO FIRE PROTECTION"," Sundry Debtors"
"TECHNO INSTRUMENTS."," Sundry Debtors"
"TECHNO PROCESS EQUIPMENT(I)LTD"," Sundry Debtors"
"Tela Equipments Pvt. Ltd."," SUNDRY DEBT.MKT."
"TELEFLO INSTRUMENT-COP.LTD."," Sundry Debtors"
"THAKKAR INORGANICIS"," SUNDRY DEBT. OTHERS THAN MKT."
"THAKORLAL & CO."," Sundry Debtors"
"THE CHIEFTAIN AGENCIES."," SUNDRY DEBT. OMS."
"THE GENERALTRADING &MFG. CO"," Sundry Debtors"
"THE GREAT EASTERN CO.HSG. LTD."," SUNDRY DEBT. OTHERS THAN MKT."
"The Indian Film Combiine P. Ltd."," Sundry Debtors"
"THE MAHALAXMI GLASS WORKS LTD."," Sundry Debtors"
"THE MIRADOR."," Sundry Debtors"
"The New Ball Bearing Co."," SUNDRY DEBT. OTHERS THAN MKT."
"THE SKY INDUSTRIES."," Sundry Debtors"
"THE TECHNOCRAFT ENGINEERS."," Sundry Debtors"
"THERMO TECHNIQUES."," SUNDRY DEBT. OTHERS THAN MKT."
"TIME STAR DEVELOPERS P.LTD."," Sundry Debtors"
"TIRUPATI SALES EMPORIUM."," SUNDRY DEBT. OTHERS THAN MKT."
"TRADE LINK."," SUNDRY DEBT. OTHERS THAN MKT."
"Transdot  Pvt.  Ltd."," Sundry Debtors"
"TRI MURTI FABRICATORS PVT LTD"," SUNDRY DEBT. OTHERS THAN MKT."
"TRIBUTE CO-OP HSG CO-OP SOC LTD."," SUNDRY DEBT. OTHERS THAN MKT."
"TRIMURTI ENTERPRISES."," Sundry Debtors"
"TRIMURTI INDUSTRIES."," Sundry Debtors"
"TRIMURTI TYRES SANGLI."," Sundry Debtors"
"TRIMURTY & COMPANY"," Sundry Debtors"
"Trishala Enterprise"," Sundry Debtors"
"TUBES N VALVES CENTER."," Sundry Debtors"
"TULSI CLOTH PROCESSORS PVT.LTD"," SUNDRY DEBT. OTHERS THAN MKT."
"TULSI EXTRUSIONS."," Sundry Debtors"
"TURBHE IRON & STEEL TRDG.P.LTD"," Sundry Debtors"
"TYCO FIRE & SECURITY (I) P. LTD."," SUNDRY DEBT. OTHERS THAN MKT."
"ULTRA TECH."," Sundry Debtors"
"Umang Fibers Pvt. Ltd."," SUNDRY DEBT.MKT."
"UMESH PENCIL PROCESSORS P.LTD."," Hindustan Group of Co"
"UNINAM INDL.MARKETING."," Sundry Debtors"
"UNIQUE ENGINEERS.(PUNE)"," Sundry Debtors"
"UNIQUE ENTERPRISE ."," SUNDRY DEBT.MKT."
"UNIQUE ENTERPRISE. (NAG)"," Sundry Debtors"
"UNIQUE MARINE SERVICE."," Sundry Debtors"
"UNIQUE STEELAGE."," Sundry Debtors"
"UNITED ENGINEERING CORP."," Sundry Debtors"
"UNITED ENTERPRISES."," SUNDRY DEBT.MKT."
"United Fire Safety Industries"," Sundry Debtors"
"UNITED RUBBER INDUS.(I) P.LTD."," Sundry Debtors"
"UNITED TRADING CORP."," Sundry Debtors"
"UNITY ENTERPRISE."," SUNDRY DEBT. OTHERS THAN MKT."
"UNIVERSAL CHEMICAL INDIA"," Sundry Debtors"
"URJA ENGINEERING."," SUNDRY DEBT. OTHERS THAN MKT."
"URMI ENTERPRISES."," SUNDRY DEBT. OTHERS THAN MKT."
"UTKARSH ENGINEERING SYSTEMS."," Sundry Debtors"
"UTTAM ELECTRICAL.NANDED."," Sundry Debtors"
"V.EXPORTS INC."," Sundry Debtors"
"V.M. TRADERS."," SUNDRY DEBT. OTHERS THAN MKT."
"V.P. INDUSTRIES."," Sundry Debtors"
"VAIBHAV ENTERPRISES"," SUNDRY DEBT. OTHERS THAN MKT."
"VAID ELASTOMER PROCESSORS LTD."," Sundry Debtors"
"VALDON COATS."," Sundry Debtors"
"VALI ENTERPRISE."," Sundry Debtors"
"VARDHMAN AGENCIES."," Sundry Debtors"
"VARDHMAN TRADE CENTRE"," SUNDRY DEBT. OTHERS THAN MKT."
"VARUN ENTERPRISE."," SUNDRY DEBT. OTHERS THAN MKT."
"VASANTRAI & CO."," Sundry Debtors"
"VASCON ENGINEERS LTD."," Sundry Debtors"
"VASUNDHARA ASSOCIATES"," Sundry Debtors"
"VATSAL & COMPANY."," SUNDRY DEBT.MKT."
"VEDANT DYEST.& INT. (P) LTD."," Sundry Debtors"
"VEDANTS DRUGS & FINE CHEMICALS"," Sundry Debtors"
"Veena Niketan Co.Op.Hsg.Soc.Ltd."," SUNDRY DEBT. OTHERS THAN MKT."
"Veena Polyster. P.Ltd."," SUNDRY DEBT. OTHERS THAN MKT."
"VEENA VIHAR HSG SOCIETY."," SUNDRY DEBT. OTHERS THAN MKT."
"VEESONS ENERGY SYSTEMS PVT LTD."," SUNDRY DEBT. OMS."
"VEL ENGINEERING SERVICES."," Sundry Debtors"
"Veldon Coats."," Sundry Debtors"
"VENUS ENTERPRISE"," Sundry Debtors"
"VENUS TRADING CO."," SUNDRY DEBT.MKT."
"Vibgyor Decor"," SUNDRY DEBT. OTHERS THAN MKT."
"VIJAY SECURITY SYSTEM P. LTD."," SUNDRY DEBT. OTHERS THAN MKT."
"VIJAY TYRES P.LTD."," Sundry Debtors"
"VIKAR ENGINEERING CO."," Sundry Debtors"
"VIKRAM CEMENT"," Sundry Debtors"
"VIKRAM ISPAT"," Sundry Debtors"
"VIKRAM SHIPPING"," Sundry Debtors"
"VIKRAM SPONGE IRON LTD."," Sundry Debtors"
"VIKRAM SUPER CEMENT"," Sundry Debtors"
"VIMAL TRADING CO."," Sundry Debtors"
"Vinaniketan Co.Op. Hsg.Soc.Ltd",""
"VINAYAK ENTERPRISE."," SUNDRY DEBT. OMS."
